,match_type,date,home,away,score,points
0,Club World Cup 2005,15/12/2005,N,Deportivo Saprissa,3:0 (2:0),3
1,Club World Cup 2005,18/12/2005,N,São Paulo FC,0:1 (0:1),0
2,Champions League 2005/2006,13/09/2005,A,Real Betis,2:1 (2:0),3
3,Champions League 2005/2006,28/09/2005,H,Chelsea FC,0:0 (0:0),1
4,Champions League 2005/2006,19/10/2005,A,RSC Anderlecht,1:0 (1:0),3
5,Champions League 2005/2006,01/11/2005,H,RSC Anderlecht,3:0 (1:0),3
6,Champions League 2005/2006,23/11/2005,H,Real Betis,0:0 (0:0),1
7,Champions League 2005/2006,06/12/2005,A,Chelsea FC,0:0 (0:0),1
8,Champions League 2005/2006,21/02/2006,A,SL Benfica,0:1 (0:0),0
9,Champions League 2005/2006,08/03/2006,H,SL Benfica,0:2 (0:1),0
10,Champions League Qual. 2005/2006,13/07/2005,H,TNS Llansantffraid,3:0 (2:0),3
11,Champions League Qual. 2005/2006,19/07/2005,A,TNS Llansantffraid,3:0 (1:0),3
12,Champions League Qual. 2005/2006,26/07/2005,A,FBK Kaunas,3:1 (2:1),3
13,Champions League Qual. 2005/2006,02/08/2005,H,FBK Kaunas,2:0 (0:0),3
14,Champions League Qual. 2005/2006,10/08/2005,A,CSKA Sofia,3:1 (2:1),3
15,Champions League Qual. 2005/2006,23/08/2005,H,CSKA Sofia,0:1 (0:1),0
16,UEFA-Supercup 2005,26/08/2005,N,CSKA Moskva,"3:1 (0:1, 1:1) aet",3
17,Premier League 2005/2006,13/08/2005,A,Middlesbrough FC,0:0 (0:0),1
18,Premier League 2005/2006,20/08/2005,H,Sunderland AFC,1:0 (1:0),3
19,Premier League 2005/2006,10/09/2005,A,Tottenham Hotspur,0:0 (0:0),1
20,Premier League 2005/2006,18/09/2005,H,Manchester United,0:0 (0:0),1
21,Premier League 2005/2006,24/09/2005,A,Birmingham City,2:2 (0:0),1
22,Premier League 2005/2006,02/10/2005,H,Chelsea FC,1:4 (1:2),0
23,Premier League 2005/2006,15/10/2005,H,Blackburn Rovers,1:0 (0:0),3
24,Premier League 2005/2006,22/10/2005,A,Fulham FC,0:2 (0:1),0
25,Premier League 2005/2006,29/10/2005,H,West Ham United,2:0 (1:0),3
26,Premier League 2005/2006,05/11/2005,A,Aston Villa,2:0 (0:0),3
27,Premier League 2005/2006,19/11/2005,H,Portsmouth FC,3:0 (2:0),3
28,Premier League 2005/2006,26/11/2005,A,Manchester City,1:0 (0:0),3
29,Premier League 2005/2006,30/11/2005,A,Sunderland AFC,2:0 (2:0),3
30,Premier League 2005/2006,03/12/2005,H,Wigan Athletic,3:0 (2:0),3
31,Premier League 2005/2006,10/12/2005,H,Middlesbrough FC,2:0 (0:0),3
32,Premier League 2005/2006,26/12/2005,H,Newcastle United,2:0 (2:0),3
33,Premier League 2005/2006,28/12/2005,A,Everton FC,3:1 (2:1),3
34,Premier League 2005/2006,31/12/2005,H,West Bromwich Albion,1:0 (0:0),3
35,Premier League 2005/2006,02/01/2006,A,Bolton Wanderers,2:2 (0:1),1
36,Premier League 2005/2006,14/01/2006,H,Tottenham Hotspur,1:0 (0:0),3
37,Premier League 2005/2006,22/01/2006,A,Manchester United,0:1 (0:0),0
38,Premier League 2005/2006,01/02/2006,H,Birmingham City,1:1 (0:0),1
39,Premier League 2005/2006,05/02/2006,A,Chelsea FC,0:2 (0:1),0
40,Premier League 2005/2006,08/02/2006,A,Charlton Athletic,0:2 (0:2),0
41,Premier League 2005/2006,11/02/2006,A,Wigan Athletic,1:0 (1:0),3
42,Premier League 2005/2006,14/02/2006,H,Arsenal FC,1:0 (0:0),3
43,Premier League 2005/2006,26/02/2006,H,Manchester City,1:0 (1:0),3
44,Premier League 2005/2006,04/03/2006,H,Charlton Athletic,0:0 (0:0),1
45,Premier League 2005/2006,12/03/2006,A,Arsenal FC,1:2 (0:1),0
46,Premier League 2005/2006,15/03/2006,H,Fulham FC,5:1 (2:1),3
47,Premier League 2005/2006,19/03/2006,A,Newcastle United,3:1 (2:1),3
48,Premier League 2005/2006,25/03/2006,H,Everton FC,3:1 (1:0),3
49,Premier League 2005/2006,01/04/2006,A,West Bromwich Albion,2:0 (2:0),3
50,Premier League 2005/2006,09/04/2006,H,Bolton Wanderers,1:0 (1:0),3
51,Premier League 2005/2006,16/04/2006,A,Blackburn Rovers,1:0 (1:0),3
52,Premier League 2005/2006,26/04/2006,A,West Ham United,2:1 (1:0),3
53,Premier League 2005/2006,29/04/2006,H,Aston Villa,3:1 (1:0),3
54,Premier League 2005/2006,07/05/2006,A,Portsmouth FC,3:1 (0:0),3
55,FA Cup 2005/2006,07/01/2006,A,Luton Town,5:3 (1:2),3
56,FA Cup 2005/2006,29/01/2006,A,Portsmouth FC,2:1 (2:0),3
57,FA Cup 2005/2006,18/02/2006,H,Manchester United,1:0 (1:0),3
58,FA Cup 2005/2006,21/03/2006,A,Birmingham City,7:0 (3:0),3
59,FA Cup 2005/2006,22/04/2006,N,Chelsea FC,2:1 (1:0),3
60,FA Cup 2005/2006,13/05/2006,N,West Ham United,"3:1 (1:2, 3:3, 3:3) pso",3
61,League Cup 2005/2006,25/10/2005,A,Crystal Palace,1:2 (1:1),0
