,match_type,date,home,away,score,points
0,Premier League 2011/2012,13/08/2011,H,Sunderland AFC,1:1 (1:0),1
1,Premier League 2011/2012,20/08/2011,A,Arsenal FC,2:0 (0:0),3
2,Premier League 2011/2012,27/08/2011,H,Bolton Wanderers,3:1 (1:0),3
3,Premier League 2011/2012,10/09/2011,A,Stoke City,0:1 (0:1),0
4,Premier League 2011/2012,18/09/2011,A,Tottenham Hotspur,0:4 (0:1),0
5,Premier League 2011/2012,24/09/2011,H,Wolverhampton Wanderers,2:1 (2:0),3
6,Premier League 2011/2012,01/10/2011,A,Everton FC,2:0 (0:0),3
7,Premier League 2011/2012,15/10/2011,H,Manchester United,1:1 (0:0),1
8,Premier League 2011/2012,22/10/2011,H,Norwich City,1:1 (1:0),1
9,Premier League 2011/2012,29/10/2011,A,West Bromwich Albion,2:0 (2:0),3
10,Premier League 2011/2012,05/11/2011,H,Swansea City,0:0 (0:0),1
11,Premier League 2011/2012,20/11/2011,A,Chelsea FC,2:1 (1:0),3
12,Premier League 2011/2012,27/11/2011,H,Manchester City,1:1 (1:1),1
13,Premier League 2011/2012,05/12/2011,A,Fulham FC,0:1 (0:0),0
14,Premier League 2011/2012,10/12/2011,H,Queens Park Rangers,1:0 (0:0),3
15,Premier League 2011/2012,18/12/2011,A,Aston Villa,2:0 (2:0),3
16,Premier League 2011/2012,21/12/2011,A,Wigan Athletic,0:0 (0:0),1
17,Premier League 2011/2012,26/12/2011,H,Blackburn Rovers,1:1 (0:1),1
18,Premier League 2011/2012,30/12/2011,H,Newcastle United,3:1 (1:1),3
19,Premier League 2011/2012,03/01/2012,A,Manchester City,0:3 (0:2),0
20,Premier League 2011/2012,14/01/2012,H,Stoke City,0:0 (0:0),1
21,Premier League 2011/2012,21/01/2012,A,Bolton Wanderers,1:3 (1:2),0
22,Premier League 2011/2012,31/01/2012,A,Wolverhampton Wanderers,3:0 (0:0),3
23,Premier League 2011/2012,06/02/2012,H,Tottenham Hotspur,0:0 (0:0),1
24,Premier League 2011/2012,11/02/2012,A,Manchester United,1:2 (0:0),0
25,Premier League 2011/2012,03/03/2012,H,Arsenal FC,1:2 (1:1),0
26,Premier League 2011/2012,10/03/2012,A,Sunderland AFC,0:1 (0:0),0
27,Premier League 2011/2012,13/03/2012,H,Everton FC,3:0 (1:0),3
28,Premier League 2011/2012,21/03/2012,A,Queens Park Rangers,2:3 (0:0),0
29,Premier League 2011/2012,24/03/2012,H,Wigan Athletic,1:2 (0:1),0
30,Premier League 2011/2012,01/04/2012,A,Newcastle United,0:2 (0:1),0
31,Premier League 2011/2012,07/04/2012,H,Aston Villa,1:1 (0:1),1
32,Premier League 2011/2012,10/04/2012,A,Blackburn Rovers,3:2 (2:1),3
33,Premier League 2011/2012,22/04/2012,H,West Bromwich Albion,0:1 (0:0),0
34,Premier League 2011/2012,28/04/2012,A,Norwich City,3:0 (2:0),3
35,Premier League 2011/2012,01/05/2012,H,Fulham FC,0:1 (0:1),0
36,Premier League 2011/2012,08/05/2012,H,Chelsea FC,4:1 (3:0),3
37,Premier League 2011/2012,13/05/2012,A,Swansea City,0:1 (0:0),0
38,FA Cup 2011/2012,06/01/2012,H,Oldham Athletic,5:1 (2:1),3
39,FA Cup 2011/2012,28/01/2012,H,Manchester United,2:1 (1:1),3
40,FA Cup 2011/2012,19/02/2012,H,Brighton & Hove Albion,6:1 (2:1),3
41,FA Cup 2011/2012,18/03/2012,H,Stoke City,2:1 (1:1),3
42,FA Cup 2011/2012,14/04/2012,N,Everton FC,2:1 (0:1),3
43,FA Cup 2011/2012,05/05/2012,N,Chelsea FC,1:2 (0:1),0
44,League Cup 2011/2012,24/08/2011,A,Exeter City,3:1 (1:0),3
45,League Cup 2011/2012,21/09/2011,A,Brighton & Hove Albion,2:1 (1:0),3
46,League Cup 2011/2012,26/10/2011,A,Stoke City,2:1 (0:1),3
47,League Cup 2011/2012,29/11/2011,A,Chelsea FC,2:0 (0:0),3
48,League Cup 2011/2012,11/01/2012,A,Manchester City,1:0 (1:0),3
49,League Cup 2011/2012,25/01/2012,H,Manchester City,2:2 (1:1),1
50,League Cup 2011/2012,26/02/2012,N,Cardiff City,"3:2 (0:1, 1:1, 2:2) pso",3
