,match_type,date,home,away,score,points
0,Champions League 2014/2015,16/09/2014,H,PFC Ludogorets Razgrad,2:1 (0:0),3
1,Champions League 2014/2015,01/10/2014,A,FC Basel,0:1 (0:0),0
2,Champions League 2014/2015,22/10/2014,H,Real Madrid,0:3 (0:3),0
3,Champions League 2014/2015,04/11/2014,A,Real Madrid,0:1 (0:1),0
4,Champions League 2014/2015,26/11/2014,A,PFC Ludogorets Razgrad,2:2 (2:1),1
5,Champions League 2014/2015,09/12/2014,H,FC Basel,1:1 (0:1),1
6,Europa League 2014/2015,19/02/2015,H,Beşiktaş,1:0 (0:0),3
7,Europa League 2014/2015,26/02/2015,A,Beşiktaş,"4:5 (0:0, 0:1, 0:1) pso",0
8,Premier League 2014/2015,17/08/2014,H,Southampton FC,2:1 (1:0),3
9,Premier League 2014/2015,25/08/2014,A,Manchester City,1:3 (0:1),0
10,Premier League 2014/2015,31/08/2014,A,Tottenham Hotspur,3:0 (1:0),3
11,Premier League 2014/2015,13/09/2014,H,Aston Villa,0:1 (0:1),0
12,Premier League 2014/2015,20/09/2014,A,West Ham United,1:3 (1:2),0
13,Premier League 2014/2015,27/09/2014,H,Everton FC,1:1 (0:0),1
14,Premier League 2014/2015,04/10/2014,H,West Bromwich Albion,2:1 (1:0),3
15,Premier League 2014/2015,19/10/2014,A,Queens Park Rangers,3:2 (0:0),3
16,Premier League 2014/2015,25/10/2014,H,Hull City,0:0 (0:0),1
17,Premier League 2014/2015,01/11/2014,A,Newcastle United,0:1 (0:0),0
18,Premier League 2014/2015,08/11/2014,H,Chelsea FC,1:2 (1:1),0
19,Premier League 2014/2015,23/11/2014,A,Crystal Palace,1:3 (1:1),0
20,Premier League 2014/2015,29/11/2014,H,Stoke City,1:0 (0:0),3
21,Premier League 2014/2015,02/12/2014,A,Leicester City,3:1 (1:1),3
22,Premier League 2014/2015,06/12/2014,H,Sunderland AFC,0:0 (0:0),1
23,Premier League 2014/2015,14/12/2014,A,Manchester United,0:3 (0:2),0
24,Premier League 2014/2015,21/12/2014,H,Arsenal FC,2:2 (1:1),1
25,Premier League 2014/2015,26/12/2014,A,Burnley FC,1:0 (0:0),3
26,Premier League 2014/2015,29/12/2014,H,Swansea City,4:1 (1:0),3
27,Premier League 2014/2015,01/01/2015,H,Leicester City,2:2 (2:0),1
28,Premier League 2014/2015,10/01/2015,A,Sunderland AFC,1:0 (1:0),3
29,Premier League 2014/2015,17/01/2015,A,Aston Villa,2:0 (1:0),3
30,Premier League 2014/2015,31/01/2015,H,West Ham United,2:0 (0:0),3
31,Premier League 2014/2015,07/02/2015,A,Everton FC,0:0 (0:0),1
32,Premier League 2014/2015,10/02/2015,H,Tottenham Hotspur,3:2 (1:1),3
33,Premier League 2014/2015,22/02/2015,A,Southampton FC,2:0 (1:0),3
34,Premier League 2014/2015,01/03/2015,H,Manchester City,2:1 (1:1),3
35,Premier League 2014/2015,04/03/2015,H,Burnley FC,2:0 (1:0),3
36,Premier League 2014/2015,16/03/2015,A,Swansea City,1:0 (0:0),3
37,Premier League 2014/2015,22/03/2015,H,Manchester United,1:2 (0:1),0
38,Premier League 2014/2015,04/04/2015,A,Arsenal FC,1:4 (0:3),0
39,Premier League 2014/2015,13/04/2015,H,Newcastle United,2:0 (1:0),3
40,Premier League 2014/2015,25/04/2015,A,West Bromwich Albion,0:0 (0:0),1
41,Premier League 2014/2015,28/04/2015,A,Hull City,0:1 (0:1),0
42,Premier League 2014/2015,02/05/2015,H,Queens Park Rangers,2:1 (1:0),3
43,Premier League 2014/2015,10/05/2015,A,Chelsea FC,1:1 (1:1),1
44,Premier League 2014/2015,16/05/2015,H,Crystal Palace,1:3 (1:1),0
45,Premier League 2014/2015,24/05/2015,A,Stoke City,1:6 (0:5),0
46,FA Cup 2014/2015,05/01/2015,A,AFC Wimbledon,2:1 (1:1),3
47,FA Cup 2014/2015,24/01/2015,H,Bolton Wanderers,0:0 (0:0),1
48,FA Cup 2014/2015,04/02/2015,A,Bolton Wanderers,2:1 (0:0),3
49,FA Cup 2014/2015,14/02/2015,A,Crystal Palace,2:1 (0:1),3
50,FA Cup 2014/2015,08/03/2015,H,Blackburn Rovers,0:0 (0:0),1
51,FA Cup 2014/2015,08/04/2015,A,Blackburn Rovers,1:0 (0:0),3
52,FA Cup 2014/2015,19/04/2015,N,Aston Villa,1:2 (1:1),0
53,League Cup 2014/2015,23/09/2014,H,Middlesbrough FC,"14:13 (1:0, 1:1, 2:2) pso",0
54,League Cup 2014/2015,28/10/2014,H,Swansea City,2:1 (0:0),3
55,League Cup 2014/2015,17/12/2014,A,AFC Bournemouth,3:1 (2:0),3
56,League Cup 2014/2015,20/01/2015,H,Chelsea FC,1:1 (0:1),1
57,League Cup 2014/2015,27/01/2015,A,Chelsea FC,"0:1 (0:0, 0:0) aet",0
