,match_type,date,home,away,score,points
0,Cup Winners Cup 1996/1997,11/09/1996,A,MyPa Anjalankoski,1:0 (0:0),3
1,Cup Winners Cup 1996/1997,25/09/1996,H,MyPa Anjalankoski,3:1 (1:0),3
2,Cup Winners Cup 1996/1997,16/10/1996,A,FC Sion,2:1 (1:1),3
3,Cup Winners Cup 1996/1997,30/10/1996,H,FC Sion,6:3 (1:2),3
4,Cup Winners Cup 1996/1997,05/03/1997,A,SK Brann,1:1 (1:0),1
5,Cup Winners Cup 1996/1997,19/03/1997,H,SK Brann,3:0 (1:0),3
6,Cup Winners Cup 1996/1997,09/04/1997,A,Paris Saint-Germain,0:3 (0:2),0
7,Cup Winners Cup 1996/1997,23/04/1997,H,Paris Saint-Germain,2:0 (1:0),3
8,Premier League 1996/1997,16/08/1996,A,Middlesbrough FC,3:3 (2:2),1
9,Premier League 1996/1997,18/08/1996,H,Arsenal FC,2:0 (0:0),3
10,Premier League 1996/1997,23/08/1996,H,Sunderland AFC,0:0 (0:0),1
11,Premier League 1996/1997,03/09/1996,A,Coventry City,1:0 (0:0),3
12,Premier League 1996/1997,06/09/1996,H,Southampton FC,2:1 (1:0),3
13,Premier League 1996/1997,14/09/1996,A,Leicester City,3:0 (0:0),3
14,Premier League 1996/1997,20/09/1996,H,Chelsea FC,5:1 (3:0),3
15,Premier League 1996/1997,28/09/1996,A,West Ham United,2:1 (1:1),3
16,Premier League 1996/1997,11/10/1996,A,Manchester United,0:1 (0:1),0
17,Premier League 1996/1997,26/10/1996,H,Derby County,2:1 (0:0),3
18,Premier League 1996/1997,02/11/1996,A,Blackburn Rovers,0:3 (0:2),0
19,Premier League 1996/1997,15/11/1996,A,Leeds United,2:0 (1:0),3
20,Premier League 1996/1997,19/11/1996,H,Everton FC,1:1 (1:0),1
21,Premier League 1996/1997,22/11/1996,H,Wimbledon FC,1:1 (1:0),1
22,Premier League 1996/1997,01/12/1996,A,Tottenham Hotspur,2:0 (1:0),3
23,Premier League 1996/1997,06/12/1996,H,Sheffield Wednesday,0:1 (0:1),0
24,Premier League 1996/1997,13/12/1996,H,Middlesbrough FC,5:1 (3:0),3
25,Premier League 1996/1997,16/12/1996,H,Nottingham Forest,4:2 (2:1),3
26,Premier League 1996/1997,22/12/1996,A,Newcastle United,1:1 (1:1),1
27,Premier League 1996/1997,25/12/1996,H,Leicester City,1:1 (0:0),1
28,Premier League 1996/1997,28/12/1996,A,Southampton FC,1:0 (0:0),3
29,Premier League 1996/1997,31/12/1996,A,Chelsea FC,0:1 (0:1),0
30,Premier League 1996/1997,10/01/1997,H,West Ham United,0:0 (0:0),1
31,Premier League 1996/1997,17/01/1997,H,Aston Villa,3:0 (0:0),3
32,Premier League 1996/1997,31/01/1997,A,Derby County,1:0 (0:0),3
33,Premier League 1996/1997,18/02/1997,H,Leeds United,4:0 (3:0),3
34,Premier League 1996/1997,21/02/1997,H,Blackburn Rovers,0:0 (0:0),1
35,Premier League 1996/1997,01/03/1997,A,Aston Villa,0:1 (0:0),0
36,Premier League 1996/1997,09/03/1997,H,Newcastle United,4:3 (3:0),3
37,Premier League 1996/1997,14/03/1997,A,Nottingham Forest,1:1 (1:1),1
38,Premier League 1996/1997,23/03/1997,A,Arsenal FC,2:1 (0:0),3
39,Premier League 1996/1997,05/04/1997,H,Coventry City,1:2 (0:0),0
40,Premier League 1996/1997,12/04/1997,A,Sunderland AFC,2:1 (1:0),3
41,Premier League 1996/1997,15/04/1997,A,Everton FC,1:1 (1:0),1
42,Premier League 1996/1997,18/04/1997,H,Manchester United,1:3 (1:2),0
43,Premier League 1996/1997,02/05/1997,H,Tottenham Hotspur,2:1 (2:1),3
44,Premier League 1996/1997,05/05/1997,A,Wimbledon FC,1:2 (0:1),0
45,Premier League 1996/1997,10/05/1997,A,Sheffield Wednesday,1:1 (0:0),1
46,FA Cup 1996/1997,03/01/1997,H,Burnley FC,1:0 (1:0),3
47,FA Cup 1996/1997,25/01/1997,A,Chelsea FC,2:4 (2:0),0
48,League Cup 1996/1997,22/10/1996,A,Charlton Athletic,1:1 (1:1),1
49,League Cup 1996/1997,12/11/1996,H,Charlton Athletic,4:1 (2:1),3
50,League Cup 1996/1997,26/11/1996,H,Arsenal FC,4:2 (2:1),3
51,League Cup 1996/1997,07/01/1997,A,Middlesbrough FC,1:2 (0:2),0
