,match_type,date,home,away,score,points
0,Champions League 2008/2009,16/09/2008,A,Olympique Marseille,2:1 (2:1),3
1,Champions League 2008/2009,01/10/2008,H,PSV Eindhoven,3:1 (2:0),3
2,Champions League 2008/2009,22/10/2008,A,Atlético Madrid,1:1 (1:0),1
3,Champions League 2008/2009,04/11/2008,H,Atlético Madrid,1:1 (0:1),1
4,Champions League 2008/2009,26/11/2008,H,Olympique Marseille,1:0 (1:0),3
5,Champions League 2008/2009,09/12/2008,A,PSV Eindhoven,3:1 (1:1),3
6,Champions League 2008/2009,25/02/2009,A,Real Madrid,1:0 (0:0),3
7,Champions League 2008/2009,10/03/2009,H,Real Madrid,4:0 (2:0),3
8,Champions League 2008/2009,08/04/2009,H,Chelsea FC,1:3 (1:1),0
9,Champions League 2008/2009,14/04/2009,A,Chelsea FC,4:4 (2:0),1
10,Champions League Qual. 2008/2009,13/08/2008,A,Standard Liège,0:0 (0:0),1
11,Champions League Qual. 2008/2009,27/08/2008,H,Standard Liège,"1:0 (0:0, 0:0) aet",3
12,Premier League 2008/2009,16/08/2008,A,Sunderland AFC,1:0 (0:0),3
13,Premier League 2008/2009,23/08/2008,H,Middlesbrough FC,2:1 (0:0),3
14,Premier League 2008/2009,31/08/2008,A,Aston Villa,0:0 (0:0),1
15,Premier League 2008/2009,13/09/2008,H,Manchester United,2:1 (1:1),3
16,Premier League 2008/2009,20/09/2008,H,Stoke City,0:0 (0:0),1
17,Premier League 2008/2009,27/09/2008,A,Everton FC,2:0 (0:0),3
18,Premier League 2008/2009,05/10/2008,A,Manchester City,3:2 (0:2),3
19,Premier League 2008/2009,18/10/2008,H,Wigan Athletic,3:2 (1:2),3
20,Premier League 2008/2009,26/10/2008,A,Chelsea FC,1:0 (1:0),3
21,Premier League 2008/2009,29/10/2008,H,Portsmouth FC,1:0 (0:0),3
22,Premier League 2008/2009,01/11/2008,A,Tottenham Hotspur,1:2 (1:0),0
23,Premier League 2008/2009,08/11/2008,H,West Bromwich Albion,3:0 (2:0),3
24,Premier League 2008/2009,15/11/2008,A,Bolton Wanderers,2:0 (1:0),3
25,Premier League 2008/2009,22/11/2008,H,Fulham FC,0:0 (0:0),1
26,Premier League 2008/2009,01/12/2008,H,West Ham United,0:0 (0:0),1
27,Premier League 2008/2009,06/12/2008,A,Blackburn Rovers,3:1 (0:0),3
28,Premier League 2008/2009,13/12/2008,H,Hull City,2:2 (2:2),1
29,Premier League 2008/2009,21/12/2008,A,Arsenal FC,1:1 (1:1),1
30,Premier League 2008/2009,26/12/2008,H,Bolton Wanderers,3:0 (1:0),3
31,Premier League 2008/2009,28/12/2008,A,Newcastle United,5:1 (2:1),3
32,Premier League 2008/2009,10/01/2009,A,Stoke City,0:0 (0:0),1
33,Premier League 2008/2009,19/01/2009,H,Everton FC,1:1 (0:0),1
34,Premier League 2008/2009,28/01/2009,A,Wigan Athletic,1:1 (1:0),1
35,Premier League 2008/2009,01/02/2009,H,Chelsea FC,2:0 (0:0),3
36,Premier League 2008/2009,07/02/2009,A,Portsmouth FC,3:2 (0:0),3
37,Premier League 2008/2009,22/02/2009,H,Manchester City,1:1 (0:0),1
38,Premier League 2008/2009,28/02/2009,A,Middlesbrough FC,0:2 (0:1),0
39,Premier League 2008/2009,03/03/2009,H,Sunderland AFC,2:0 (0:0),3
40,Premier League 2008/2009,14/03/2009,A,Manchester United,4:1 (2:1),3
41,Premier League 2008/2009,22/03/2009,H,Aston Villa,5:0 (3:0),3
42,Premier League 2008/2009,04/04/2009,A,Fulham FC,1:0 (0:0),3
43,Premier League 2008/2009,11/04/2009,H,Blackburn Rovers,4:0 (2:0),3
44,Premier League 2008/2009,21/04/2009,H,Arsenal FC,4:4 (0:1),1
45,Premier League 2008/2009,25/04/2009,A,Hull City,3:1 (1:0),3
46,Premier League 2008/2009,03/05/2009,H,Newcastle United,3:0 (2:0),3
47,Premier League 2008/2009,09/05/2009,A,West Ham United,3:0 (2:0),3
48,Premier League 2008/2009,17/05/2009,A,West Bromwich Albion,2:0 (1:0),3
49,Premier League 2008/2009,24/05/2009,H,Tottenham Hotspur,3:1 (1:0),3
50,FA Cup 2008/2009,03/01/2009,A,Preston North End,2:0 (1:0),3
51,FA Cup 2008/2009,25/01/2009,H,Everton FC,1:1 (0:1),1
52,FA Cup 2008/2009,04/02/2009,A,Everton FC,"0:1 (0:0, 0:0) aet",0
53,League Cup 2008/2009,23/09/2008,H,Crewe Alexandra,2:1 (1:1),3
54,League Cup 2008/2009,12/11/2008,A,Tottenham Hotspur,2:4 (0:3),0
