,match_type,date,home,away,score,points
0,FA Cup 1998/1999,12/11/1998,H,Halifax Town,3:0 (2:0),3
1,FA Cup 1998/1999,03/12/1998,A,Darlington FC,1:1 (0:1),1
2,FA Cup 1998/1999,14/12/1998,H,Darlington FC,"1:0 (0:0, 0:0) aet",3
3,FA Cup 1998/1999,01/01/1999,A,Wimbledon FC,0:1 (0:0),0
4,League Cup 1998/1999,10/08/1998,A,Notts County,2:0 (0:0),3
5,League Cup 1998/1999,18/08/1998,H,Notts County,7:1 (4:0),3
6,League Cup 1998/1999,15/09/1998,A,Derby County,1:1 (1:1),1
7,League Cup 1998/1999,22/09/1998,H,Derby County,0:1 (0:1),0
