,match_type,date,home,away,score,points
0,Premier League 2000/2001,19/08/2000,A,Charlton Athletic,0:4 (0:2),0
1,Premier League 2000/2001,23/08/2000,H,Sunderland AFC,4:2 (2:0),3
2,Premier League 2000/2001,26/08/2000,H,Coventry City,1:2 (0:2),0
3,Premier League 2000/2001,05/09/2000,A,Leeds United,2:1 (2:0),3
4,Premier League 2000/2001,09/09/2000,A,Liverpool FC,2:3 (0:1),0
5,Premier League 2000/2001,17/09/2000,H,Middlesbrough FC,1:1 (0:0),1
6,Premier League 2000/2001,23/09/2000,A,Tottenham Hotspur,0:0 (0:0),1
7,Premier League 2000/2001,30/09/2000,H,Newcastle United,0:1 (0:0),0
8,Premier League 2000/2001,14/10/2000,H,Bradford City,2:0 (2:0),3
9,Premier League 2000/2001,23/10/2000,A,Southampton FC,2:0 (1:0),3
10,Premier League 2000/2001,28/10/2000,A,Arsenal FC,0:5 (0:1),0
11,Premier League 2000/2001,04/11/2000,H,Leicester City,0:1 (0:0),0
12,Premier League 2000/2001,11/11/2000,A,West Ham United,1:4 (1:0),0
13,Premier League 2000/2001,18/11/2000,H,Manchester United,0:1 (0:1),0
14,Premier League 2000/2001,25/11/2000,H,Ipswich Town,2:3 (0:2),0
15,Premier League 2000/2001,03/12/2000,A,Chelsea FC,1:2 (0:2),0
16,Premier League 2000/2001,09/12/2000,H,Everton FC,5:0 (3:0),3
17,Premier League 2000/2001,16/12/2000,A,Aston Villa,2:2 (0:0),1
18,Premier League 2000/2001,23/12/2000,A,Sunderland AFC,0:1 (0:1),0
19,Premier League 2000/2001,26/12/2000,H,Derby County,0:0 (0:0),1
20,Premier League 2000/2001,30/12/2000,H,Charlton Athletic,1:4 (0:2),0
21,Premier League 2000/2001,01/01/2001,A,Coventry City,1:1 (0:0),1
22,Premier League 2000/2001,13/01/2001,H,Leeds United,0:4 (0:1),0
23,Premier League 2000/2001,20/01/2001,A,Derby County,1:1 (0:0),1
24,Premier League 2000/2001,31/01/2001,H,Liverpool FC,1:1 (0:1),1
25,Premier League 2000/2001,03/02/2001,A,Middlesbrough FC,1:1 (1:0),1
26,Premier League 2000/2001,10/02/2001,H,Tottenham Hotspur,0:1 (0:0),0
27,Premier League 2000/2001,24/02/2001,A,Newcastle United,1:0 (0:0),3
28,Premier League 2000/2001,03/03/2001,H,Southampton FC,0:1 (0:0),0
29,Premier League 2000/2001,17/03/2001,A,Bradford City,2:2 (1:0),1
30,Premier League 2000/2001,31/03/2001,H,Aston Villa,1:3 (1:2),0
31,Premier League 2000/2001,08/04/2001,A,Everton FC,1:3 (1:2),0
32,Premier League 2000/2001,11/04/2001,H,Arsenal FC,0:4 (0:4),0
33,Premier League 2000/2001,14/04/2001,A,Leicester City,2:1 (1:1),3
34,Premier League 2000/2001,21/04/2001,A,Manchester United,1:1 (0:0),1
35,Premier League 2000/2001,28/04/2001,H,West Ham United,1:0 (1:0),3
36,Premier League 2000/2001,07/05/2001,A,Ipswich Town,1:2 (0:0),0
37,Premier League 2000/2001,19/05/2001,H,Chelsea FC,1:2 (1:1),0
38,FA Cup 2000/2001,05/01/2001,H,Birmingham City,3:2 (3:0),3
39,FA Cup 2000/2001,26/01/2001,H,Coventry City,1:0 (0:0),3
40,FA Cup 2000/2001,17/02/2001,A,Liverpool FC,2:4 (1:2),0
41,League Cup 2000/2001,19/09/2000,H,Gillingham FC,1:1 (0:0),1
42,League Cup 2000/2001,25/09/2000,A,Gillingham FC,"4:2 (0:1, 2:2) aet",3
43,League Cup 2000/2001,31/10/2000,A,Aston Villa,1:0 (0:0),3
44,League Cup 2000/2001,28/11/2000,H,Wimbledon FC,2:1 (1:1),3
45,League Cup 2000/2001,18/12/2000,H,Ipswich Town,"1:2 (1:0, 1:1) aet",0
