,match_type,date,home,away,score,points
0,Premier League 2004/2005,14/08/2004,H,Fulham FC,1:1 (1:0),1
1,Premier League 2004/2005,21/08/2004,A,Liverpool FC,1:2 (1:0),0
2,Premier League 2004/2005,24/08/2004,A,Birmingham City,0:1 (0:1),0
3,Premier League 2004/2005,28/08/2004,H,Charlton Athletic,4:0 (2:0),3
4,Premier League 2004/2005,11/09/2004,H,Everton FC,0:1 (0:0),0
5,Premier League 2004/2005,18/09/2004,A,Crystal Palace,2:1 (0:0),3
6,Premier League 2004/2005,25/09/2004,H,Arsenal FC,0:1 (0:1),0
7,Premier League 2004/2005,02/10/2004,A,Southampton FC,0:0 (0:0),1
8,Premier League 2004/2005,16/10/2004,H,Chelsea FC,1:0 (1:0),3
9,Premier League 2004/2005,24/10/2004,A,Newcastle United,3:4 (0:0),0
10,Premier League 2004/2005,01/11/2004,H,Norwich City,1:1 (1:0),1
11,Premier League 2004/2005,07/11/2004,A,Manchester United,0:0 (0:0),1
12,Premier League 2004/2005,13/11/2004,H,Blackburn Rovers,1:1 (1:0),1
13,Premier League 2004/2005,20/11/2004,A,Portsmouth FC,3:1 (1:1),3
14,Premier League 2004/2005,27/11/2004,H,Aston Villa,2:0 (2:0),3
15,Premier League 2004/2005,06/12/2004,A,Middlesbrough FC,2:3 (1:1),0
16,Premier League 2004/2005,11/12/2004,H,Tottenham Hotspur,0:1 (0:0),0
17,Premier League 2004/2005,18/12/2004,A,Bolton Wanderers,1:0 (0:0),3
18,Premier League 2004/2005,26/12/2004,A,Everton FC,1:2 (1:1),0
19,Premier League 2004/2005,28/12/2004,H,West Bromwich Albion,1:1 (1:0),1
20,Premier League 2004/2005,01/01/2005,H,Southampton FC,2:1 (2:0),3
21,Premier League 2004/2005,04/01/2005,A,Arsenal FC,1:1 (1:0),1
22,Premier League 2004/2005,15/01/2005,H,Crystal Palace,3:1 (2:1),3
23,Premier League 2004/2005,22/01/2005,A,West Bromwich Albion,0:2 (0:1),0
24,Premier League 2004/2005,02/02/2005,H,Newcastle United,1:1 (0:1),1
25,Premier League 2004/2005,06/02/2005,A,Chelsea FC,0:0 (0:0),1
26,Premier League 2004/2005,13/02/2005,H,Manchester United,0:2 (0:0),0
27,Premier League 2004/2005,28/02/2005,A,Norwich City,3:2 (2:2),3
28,Premier League 2004/2005,07/03/2005,H,Bolton Wanderers,0:1 (0:1),0
29,Premier League 2004/2005,19/03/2005,A,Tottenham Hotspur,1:2 (1:1),0
30,Premier League 2004/2005,02/04/2005,A,Charlton Athletic,2:2 (2:1),1
31,Premier League 2004/2005,09/04/2005,H,Liverpool FC,1:0 (0:0),3
32,Premier League 2004/2005,16/04/2005,A,Fulham FC,1:1 (1:0),1
33,Premier League 2004/2005,20/04/2005,H,Birmingham City,3:0 (0:0),3
34,Premier League 2004/2005,23/04/2005,A,Blackburn Rovers,0:0 (0:0),1
35,Premier League 2004/2005,30/04/2005,H,Portsmouth FC,2:0 (2:0),3
36,Premier League 2004/2005,07/05/2005,A,Aston Villa,2:1 (2:0),3
37,Premier League 2004/2005,15/05/2005,H,Middlesbrough FC,1:1 (1:1),1
38,FA Cup 2004/2005,08/01/2005,A,Oldham Athletic,0:1 (0:1),0
39,League Cup 2004/2005,21/09/2004,H,Barnsley FC,7:1 (5:0),3
40,League Cup 2004/2005,27/10/2004,H,Arsenal FC,1:2 (0:0),0
