,match_type,date,home,away,score,points
0,Premier League 1996/1997,17/08/1996,A,Southampton FC,0:0 (0:0),1
1,Premier League 1996/1997,20/08/1996,H,Middlesbrough FC,1:0 (0:0),3
2,Premier League 1996/1997,23/08/1996,H,Coventry City,2:0 (1:0),3
3,Premier League 1996/1997,03/09/1996,A,Arsenal FC,3:3 (2:1),1
4,Premier League 1996/1997,06/09/1996,A,Sheffield Wednesday,2:0 (1:0),3
5,Premier League 1996/1997,14/09/1996,H,Aston Villa,1:1 (1:1),1
6,Premier League 1996/1997,20/09/1996,A,Liverpool FC,1:5 (0:3),0
7,Premier League 1996/1997,27/09/1996,H,Nottingham Forest,1:1 (0:0),1
8,Premier League 1996/1997,11/10/1996,A,Leicester City,3:1 (0:1),3
9,Premier League 1996/1997,18/10/1996,H,Wimbledon FC,2:4 (1:2),0
10,Premier League 1996/1997,25/10/1996,H,Tottenham Hotspur,3:1 (1:1),3
11,Premier League 1996/1997,01/11/1996,A,Manchester United,2:1 (1:0),3
12,Premier League 1996/1997,15/11/1996,A,Blackburn Rovers,1:1 (0:0),1
13,Premier League 1996/1997,22/11/1996,H,Newcastle United,1:1 (1:1),1
14,Premier League 1996/1997,30/11/1996,A,Leeds United,0:2 (0:2),0
15,Premier League 1996/1997,06/12/1996,H,Everton FC,2:2 (1:2),1
16,Premier League 1996/1997,14/12/1996,A,Sunderland AFC,0:3 (0:1),0
17,Premier League 1996/1997,20/12/1996,H,West Ham United,3:1 (3:1),3
18,Premier League 1996/1997,25/12/1996,A,Aston Villa,2:0 (0:0),3
19,Premier League 1996/1997,27/12/1996,H,Sheffield Wednesday,2:2 (2:1),1
20,Premier League 1996/1997,31/12/1996,H,Liverpool FC,1:0 (1:0),3
21,Premier League 1996/1997,10/01/1997,A,Nottingham Forest,0:2 (0:1),0
22,Premier League 1996/1997,17/01/1997,H,Derby County,3:1 (2:1),3
23,Premier League 1996/1997,31/01/1997,A,Tottenham Hotspur,2:1 (1:0),3
24,Premier League 1996/1997,21/02/1997,H,Manchester United,1:1 (1:0),1
25,Premier League 1996/1997,28/02/1997,A,Derby County,2:3 (1:0),0
26,Premier League 1996/1997,04/03/1997,H,Blackburn Rovers,1:1 (0:0),1
27,Premier League 1996/1997,11/03/1997,A,West Ham United,2:3 (1:0),0
28,Premier League 1996/1997,15/03/1997,H,Sunderland AFC,6:2 (2:0),3
29,Premier League 1996/1997,18/03/1997,H,Southampton FC,1:0 (1:0),3
30,Premier League 1996/1997,21/03/1997,A,Middlesbrough FC,0:1 (0:0),0
31,Premier League 1996/1997,04/04/1997,H,Arsenal FC,0:3 (0:1),0
32,Premier League 1996/1997,08/04/1997,A,Coventry City,1:3 (1:0),0
33,Premier League 1996/1997,15/04/1997,A,Newcastle United,1:3 (0:3),0
34,Premier League 1996/1997,18/04/1997,H,Leicester City,2:1 (1:0),3
35,Premier League 1996/1997,21/04/1997,A,Wimbledon FC,1:0 (1:0),3
36,Premier League 1996/1997,02/05/1997,H,Leeds United,0:0 (0:0),1
37,Premier League 1996/1997,10/05/1997,A,Everton FC,2:1 (2:0),3
38,FA Cup 1996/1997,03/01/1997,H,West Bromwich Albion,3:0 (1:0),3
39,FA Cup 1996/1997,25/01/1997,H,Liverpool FC,4:2 (0:2),3
40,FA Cup 1996/1997,15/02/1997,A,Leicester City,2:2 (2:0),1
41,FA Cup 1996/1997,25/02/1997,H,Leicester City,"1:0 (0:0, 0:0) aet",3
42,FA Cup 1996/1997,09/03/1997,A,Portsmouth FC,4:1 (2:0),3
43,FA Cup 1996/1997,13/04/1997,N,Wimbledon FC,3:0 (1:0),3
44,FA Cup 1996/1997,17/05/1997,N,Middlesbrough FC,2:0 (1:0),3
45,League Cup 1996/1997,17/09/1996,A,Blackpool FC,4:1 (1:1),3
46,League Cup 1996/1997,24/09/1996,H,Blackpool FC,1:3 (0:1),0
47,League Cup 1996/1997,21/10/1996,A,Bolton Wanderers,1:2 (1:2),0
