,match_type,date,home,away,score,points
0,Premier League 2016/2017,15/08/2016,H,West Ham United,2:1 (0:0),3
1,Premier League 2016/2017,20/08/2016,A,Watford FC,2:1 (0:0),3
2,Premier League 2016/2017,27/08/2016,H,Burnley FC,3:0 (2:0),3
3,Premier League 2016/2017,11/09/2016,A,Swansea City,2:2 (1:0),1
4,Premier League 2016/2017,16/09/2016,H,Liverpool FC,1:2 (0:2),0
5,Premier League 2016/2017,24/09/2016,A,Arsenal FC,0:3 (0:3),0
6,Premier League 2016/2017,01/10/2016,A,Hull City,2:0 (0:0),3
7,Premier League 2016/2017,15/10/2016,H,Leicester City,3:0 (2:0),3
8,Premier League 2016/2017,23/10/2016,H,Manchester United,4:0 (2:0),3
9,Premier League 2016/2017,30/10/2016,A,Southampton FC,2:0 (1:0),3
10,Premier League 2016/2017,05/11/2016,H,Everton FC,5:0 (3:0),3
11,Premier League 2016/2017,20/11/2016,A,Middlesbrough FC,1:0 (1:0),3
12,Premier League 2016/2017,26/11/2016,H,Tottenham Hotspur,2:1 (1:1),3
13,Premier League 2016/2017,03/12/2016,A,Manchester City,3:1 (0:1),3
14,Premier League 2016/2017,11/12/2016,H,West Bromwich Albion,1:0 (0:0),3
15,Premier League 2016/2017,14/12/2016,A,Sunderland AFC,1:0 (1:0),3
16,Premier League 2016/2017,17/12/2016,A,Crystal Palace,1:0 (1:0),3
17,Premier League 2016/2017,26/12/2016,H,AFC Bournemouth,3:0 (1:0),3
18,Premier League 2016/2017,31/12/2016,H,Stoke City,4:2 (1:0),3
19,Premier League 2016/2017,04/01/2017,A,Tottenham Hotspur,0:2 (0:1),0
20,Premier League 2016/2017,14/01/2017,A,Leicester City,3:0 (1:0),3
21,Premier League 2016/2017,22/01/2017,H,Hull City,2:0 (1:0),3
22,Premier League 2016/2017,31/01/2017,A,Liverpool FC,1:1 (1:0),1
23,Premier League 2016/2017,04/02/2017,H,Arsenal FC,3:1 (1:0),3
24,Premier League 2016/2017,12/02/2017,A,Burnley FC,1:1 (1:1),1
25,Premier League 2016/2017,25/02/2017,H,Swansea City,3:1 (1:1),3
26,Premier League 2016/2017,06/03/2017,A,West Ham United,2:1 (1:0),3
27,Premier League 2016/2017,18/03/2017,A,Stoke City,2:1 (1:1),3
28,Premier League 2016/2017,01/04/2017,H,Crystal Palace,1:2 (1:2),0
29,Premier League 2016/2017,05/04/2017,H,Manchester City,2:1 (2:1),3
30,Premier League 2016/2017,08/04/2017,A,AFC Bournemouth,3:1 (2:1),3
31,Premier League 2016/2017,16/04/2017,A,Manchester United,0:2 (0:1),0
32,Premier League 2016/2017,25/04/2017,H,Southampton FC,4:2 (2:1),3
33,Premier League 2016/2017,30/04/2017,A,Everton FC,3:0 (0:0),3
34,Premier League 2016/2017,08/05/2017,H,Middlesbrough FC,3:0 (2:0),3
35,Premier League 2016/2017,12/05/2017,A,West Bromwich Albion,1:0 (0:0),3
36,Premier League 2016/2017,15/05/2017,H,Watford FC,4:3 (2:1),3
37,Premier League 2016/2017,21/05/2017,H,Sunderland AFC,5:1 (1:1),3
38,FA Cup 2016/2017,08/01/2017,H,Peterborough United,4:1 (2:0),3
39,FA Cup 2016/2017,28/01/2017,H,Brentford FC,4:0 (2:0),3
40,FA Cup 2016/2017,18/02/2017,A,Wolverhampton Wanderers,2:0 (0:0),3
41,FA Cup 2016/2017,13/03/2017,H,Manchester United,1:0 (0:0),3
42,FA Cup 2016/2017,22/04/2017,N,Tottenham Hotspur,4:2 (2:1),3
43,FA Cup 2016/2017,27/05/2017,N,Arsenal FC,1:2 (0:1),0
44,League Cup 2016/2017,23/08/2016,H,Bristol Rovers,3:2 (3:1),3
45,League Cup 2016/2017,20/09/2016,A,Leicester City,"4:2 (1:2, 2:2) aet",3
46,League Cup 2016/2017,26/10/2016,A,West Ham United,1:2 (0:1),0
