,match_type,date,home,away,score,points
0,Europa League 2002/2003,19/09/2002,H,Viking FK,2:1 (1:0),3
1,Europa League 2002/2003,03/10/2002,A,Viking FK,2:4 (1:2),0
2,Premier League 2002/2003,17/08/2002,A,Charlton Athletic,3:2 (1:2),3
3,Premier League 2002/2003,23/08/2002,H,Manchester United,2:2 (2:1),1
4,Premier League 2002/2003,28/08/2002,A,Southampton FC,1:1 (0:0),1
5,Premier League 2002/2003,01/09/2002,H,Arsenal FC,1:1 (1:0),1
6,Premier League 2002/2003,11/09/2002,A,Blackburn Rovers,3:2 (1:2),3
7,Premier League 2002/2003,14/09/2002,H,Newcastle United,3:0 (2:0),3
8,Premier League 2002/2003,23/09/2002,A,Fulham FC,0:0 (0:0),1
9,Premier League 2002/2003,28/09/2002,H,West Ham United,2:3 (1:1),0
10,Premier League 2002/2003,06/10/2002,A,Liverpool FC,0:1 (0:0),0
11,Premier League 2002/2003,19/10/2002,A,Manchester City,3:0 (0:0),3
12,Premier League 2002/2003,26/10/2002,H,West Bromwich Albion,2:0 (1:0),3
13,Premier League 2002/2003,03/11/2002,A,Tottenham Hotspur,0:0 (0:0),1
14,Premier League 2002/2003,09/11/2002,H,Birmingham City,3:0 (3:0),3
15,Premier League 2002/2003,16/11/2002,H,Middlesbrough FC,1:0 (0:0),3
16,Premier League 2002/2003,23/11/2002,A,Bolton Wanderers,1:1 (0:0),1
17,Premier League 2002/2003,30/11/2002,H,Sunderland AFC,3:0 (0:0),3
18,Premier League 2002/2003,07/12/2002,A,Everton FC,3:1 (2:1),3
19,Premier League 2002/2003,14/12/2002,A,Middlesbrough FC,1:1 (1:1),1
20,Premier League 2002/2003,21/12/2002,H,Aston Villa,2:0 (1:0),3
21,Premier League 2002/2003,26/12/2002,H,Southampton FC,0:0 (0:0),1
22,Premier League 2002/2003,28/12/2002,A,Leeds United,0:2 (0:2),0
23,Premier League 2002/2003,01/01/2003,A,Arsenal FC,2:3 (0:1),0
24,Premier League 2002/2003,11/01/2003,H,Charlton Athletic,4:1 (3:1),3
25,Premier League 2002/2003,18/01/2003,A,Manchester United,1:2 (1:1),0
26,Premier League 2002/2003,28/01/2003,H,Leeds United,3:2 (0:1),3
27,Premier League 2002/2003,01/02/2003,H,Tottenham Hotspur,1:1 (1:1),1
28,Premier League 2002/2003,08/02/2003,A,Birmingham City,3:1 (1:0),3
29,Premier League 2002/2003,22/02/2003,H,Blackburn Rovers,1:2 (0:0),0
30,Premier League 2002/2003,01/03/2003,A,Newcastle United,1:2 (1:1),0
31,Premier League 2002/2003,16/03/2003,A,West Bromwich Albion,2:0 (1:0),3
32,Premier League 2002/2003,22/03/2003,H,Manchester City,5:0 (2:0),3
33,Premier League 2002/2003,05/04/2003,A,Sunderland AFC,2:1 (0:1),3
34,Premier League 2002/2003,12/04/2003,H,Bolton Wanderers,1:0 (0:0),3
35,Premier League 2002/2003,19/04/2003,A,Aston Villa,1:2 (0:1),0
36,Premier League 2002/2003,21/04/2003,H,Everton FC,4:1 (1:0),3
37,Premier League 2002/2003,26/04/2003,H,Fulham FC,1:1 (1:0),1
38,Premier League 2002/2003,03/05/2003,A,West Ham United,0:1 (0:0),0
39,Premier League 2002/2003,11/05/2003,H,Liverpool FC,2:1 (2:1),3
40,FA Cup 2002/2003,03/01/2003,H,Middlesbrough FC,1:0 (1:0),3
41,FA Cup 2002/2003,25/01/2003,A,Shrewsbury Town,4:0 (1:0),3
42,FA Cup 2002/2003,15/02/2003,A,Stoke City,2:0 (0:0),3
43,FA Cup 2002/2003,07/03/2003,A,Arsenal FC,2:2 (1:2),1
44,FA Cup 2002/2003,24/03/2003,H,Arsenal FC,1:3 (0:2),0
45,League Cup 2002/2003,05/11/2002,H,Gillingham FC,2:1 (1:0),3
46,League Cup 2002/2003,03/12/2002,H,Everton FC,4:1 (2:0),3
47,League Cup 2002/2003,16/12/2002,A,Manchester United,0:1 (0:0),0
