,match_type,date,home,away,score,points
0,Champions League 2013/2014,18/09/2013,H,FC Basel,1:2 (1:0),0
1,Champions League 2013/2014,01/10/2013,A,Steaua Bucureşti,4:0 (2:0),3
2,Champions League 2013/2014,22/10/2013,A,FC Schalke 04,3:0 (1:0),3
3,Champions League 2013/2014,06/11/2013,H,FC Schalke 04,3:0 (1:0),3
4,Champions League 2013/2014,26/11/2013,A,FC Basel,0:1 (0:0),0
5,Champions League 2013/2014,11/12/2013,H,Steaua Bucureşti,1:0 (1:0),3
6,Champions League 2013/2014,26/02/2014,A,Galatasaray,1:1 (1:0),1
7,Champions League 2013/2014,18/03/2014,H,Galatasaray,2:0 (2:0),3
8,Champions League 2013/2014,02/04/2014,A,Paris Saint-Germain,1:3 (1:1),0
9,Champions League 2013/2014,08/04/2014,H,Paris Saint-Germain,2:0 (1:0),3
10,Champions League 2013/2014,22/04/2014,A,Atlético Madrid,0:0 (0:0),1
11,Champions League 2013/2014,30/04/2014,H,Atlético Madrid,1:3 (1:1),0
12,UEFA-Supercup 2013,30/08/2013,N,Bayern München,"4:5 (1:0, 1:1, 2:2) pso",0
13,Premier League 2013/2014,18/08/2013,H,Hull City,2:0 (2:0),3
14,Premier League 2013/2014,21/08/2013,H,Aston Villa,2:1 (1:1),3
15,Premier League 2013/2014,26/08/2013,A,Manchester United,0:0 (0:0),1
16,Premier League 2013/2014,14/09/2013,A,Everton FC,0:1 (0:1),0
17,Premier League 2013/2014,21/09/2013,H,Fulham FC,2:0 (0:0),3
18,Premier League 2013/2014,28/09/2013,A,Tottenham Hotspur,1:1 (0:1),1
19,Premier League 2013/2014,06/10/2013,A,Norwich City,3:1 (1:0),3
20,Premier League 2013/2014,19/10/2013,H,Cardiff City,4:1 (1:1),3
21,Premier League 2013/2014,27/10/2013,H,Manchester City,2:1 (1:0),3
22,Premier League 2013/2014,02/11/2013,A,Newcastle United,0:2 (0:0),0
23,Premier League 2013/2014,09/11/2013,H,West Bromwich Albion,2:2 (1:0),1
24,Premier League 2013/2014,23/11/2013,A,West Ham United,3:0 (2:0),3
25,Premier League 2013/2014,01/12/2013,H,Southampton FC,3:1 (0:1),3
26,Premier League 2013/2014,04/12/2013,A,Sunderland AFC,4:3 (2:1),3
27,Premier League 2013/2014,07/12/2013,A,Stoke City,2:3 (1:1),0
28,Premier League 2013/2014,14/12/2013,H,Crystal Palace,2:1 (2:1),3
29,Premier League 2013/2014,23/12/2013,A,Arsenal FC,0:0 (0:0),1
30,Premier League 2013/2014,26/12/2013,H,Swansea City,1:0 (1:0),3
31,Premier League 2013/2014,29/12/2013,H,Liverpool FC,2:1 (2:1),3
32,Premier League 2013/2014,01/01/2014,A,Southampton FC,3:0 (0:0),3
33,Premier League 2013/2014,11/01/2014,A,Hull City,2:0 (0:0),3
34,Premier League 2013/2014,19/01/2014,H,Manchester United,3:1 (2:0),3
35,Premier League 2013/2014,29/01/2014,H,West Ham United,0:0 (0:0),1
36,Premier League 2013/2014,03/02/2014,A,Manchester City,1:0 (1:0),3
37,Premier League 2013/2014,08/02/2014,H,Newcastle United,3:0 (2:0),3
38,Premier League 2013/2014,11/02/2014,A,West Bromwich Albion,1:1 (1:0),1
39,Premier League 2013/2014,22/02/2014,H,Everton FC,1:0 (0:0),3
40,Premier League 2013/2014,01/03/2014,A,Fulham FC,3:1 (0:0),3
41,Premier League 2013/2014,08/03/2014,H,Tottenham Hotspur,4:0 (0:0),3
42,Premier League 2013/2014,15/03/2014,A,Aston Villa,0:1 (0:0),0
43,Premier League 2013/2014,22/03/2014,H,Arsenal FC,6:0 (4:0),3
44,Premier League 2013/2014,29/03/2014,A,Crystal Palace,0:1 (0:0),0
45,Premier League 2013/2014,05/04/2014,H,Stoke City,3:0 (1:0),3
46,Premier League 2013/2014,13/04/2014,A,Swansea City,1:0 (0:0),3
47,Premier League 2013/2014,19/04/2014,H,Sunderland AFC,1:2 (1:1),0
48,Premier League 2013/2014,27/04/2014,A,Liverpool FC,2:0 (1:0),3
49,Premier League 2013/2014,04/05/2014,H,Norwich City,0:0 (0:0),1
50,Premier League 2013/2014,11/05/2014,A,Cardiff City,2:1 (0:1),3
51,FA Cup 2013/2014,05/01/2014,A,Derby County,2:0 (0:0),3
52,FA Cup 2013/2014,26/01/2014,H,Stoke City,1:0 (1:0),3
53,FA Cup 2013/2014,15/02/2014,A,Manchester City,0:2 (0:1),0
54,League Cup 2013/2014,24/09/2013,A,Swindon Town,2:0 (2:0),3
55,League Cup 2013/2014,29/10/2013,A,Arsenal FC,2:0 (1:0),3
56,League Cup 2013/2014,17/12/2013,A,Sunderland AFC,"1:2 (0:0, 1:1) aet",0
