,match_type,date,home,away,score,points
0,Europa League 1997/1998,15/09/1997,A,PAOK Saloniki,0:1 (0:0),0
1,Europa League 1997/1998,29/09/1997,H,PAOK Saloniki,1:1 (1:0),1
2,Premier League 1997/1998,08/08/1997,A,Leeds United,1:1 (1:1),1
3,Premier League 1997/1998,10/08/1997,H,Coventry City,2:0 (1:0),3
4,Premier League 1997/1998,22/08/1997,A,Southampton FC,3:1 (1:1),3
5,Premier League 1997/1998,26/08/1997,A,Leicester City,3:3 (1:0),1
6,Premier League 1997/1998,29/08/1997,H,Tottenham Hotspur,0:0 (0:0),1
7,Premier League 1997/1998,12/09/1997,H,Bolton Wanderers,4:1 (3:1),3
8,Premier League 1997/1998,20/09/1997,A,Chelsea FC,3:2 (1:1),3
9,Premier League 1997/1998,23/09/1997,H,West Ham United,4:0 (4:0),3
10,Premier League 1997/1998,26/09/1997,A,Everton FC,2:2 (2:0),1
11,Premier League 1997/1998,03/10/1997,H,Barnsley FC,5:0 (3:0),3
12,Premier League 1997/1998,17/10/1997,A,Crystal Palace,0:0 (0:0),1
13,Premier League 1997/1998,25/10/1997,H,Aston Villa,0:0 (0:0),1
14,Premier League 1997/1998,31/10/1997,A,Derby County,0:3 (0:0),0
15,Premier League 1997/1998,08/11/1997,H,Manchester United,3:2 (2:2),3
16,Premier League 1997/1998,21/11/1997,A,Sheffield Wednesday,0:2 (0:1),0
17,Premier League 1997/1998,29/11/1997,H,Liverpool FC,0:1 (0:0),0
18,Premier League 1997/1998,05/12/1997,A,Newcastle United,1:0 (1:0),3
19,Premier League 1997/1998,12/12/1997,H,Blackburn Rovers,1:3 (1:0),0
20,Premier League 1997/1998,25/12/1997,H,Leicester City,2:1 (1:0),3
21,Premier League 1997/1998,27/12/1997,A,Tottenham Hotspur,1:1 (0:1),1
22,Premier League 1997/1998,09/01/1998,H,Leeds United,2:1 (0:0),3
23,Premier League 1997/1998,16/01/1998,A,Coventry City,2:2 (0:1),1
24,Premier League 1997/1998,30/01/1998,H,Southampton FC,3:0 (0:0),3
25,Premier League 1997/1998,07/02/1998,H,Chelsea FC,2:0 (2:0),3
26,Premier League 1997/1998,20/02/1998,H,Crystal Palace,1:0 (0:0),3
27,Premier League 1997/1998,01/03/1998,A,West Ham United,0:0 (0:0),1
28,Premier League 1997/1998,10/03/1998,A,Wimbledon FC,1:0 (1:0),3
29,Premier League 1997/1998,13/03/1998,A,Manchester United,1:0 (0:0),3
30,Premier League 1997/1998,27/03/1998,H,Sheffield Wednesday,1:0 (1:0),3
31,Premier League 1997/1998,30/03/1998,A,Bolton Wanderers,1:0 (0:0),3
32,Premier League 1997/1998,10/04/1998,H,Newcastle United,3:1 (1:0),3
33,Premier League 1997/1998,12/04/1998,A,Blackburn Rovers,4:1 (4:0),3
34,Premier League 1997/1998,17/04/1998,H,Wimbledon FC,5:0 (3:0),3
35,Premier League 1997/1998,24/04/1998,A,Barnsley FC,2:0 (1:0),3
36,Premier League 1997/1998,28/04/1998,H,Derby County,1:0 (1:0),3
37,Premier League 1997/1998,02/05/1998,H,Everton FC,4:0 (2:0),3
38,Premier League 1997/1998,05/05/1998,A,Liverpool FC,0:4 (0:3),0
39,Premier League 1997/1998,09/05/1998,A,Aston Villa,0:1 (0:1),0
40,FA Cup 1997/1998,02/01/1998,H,Port Vale FC,0:0 (0:0),1
41,FA Cup 1997/1998,13/01/1998,A,Port Vale FC,"4:3 (0:0, 0:0, 1:1) pso",3
42,FA Cup 1997/1998,23/01/1998,A,Middlesbrough FC,2:1 (2:0),3
43,FA Cup 1997/1998,14/02/1998,H,Crystal Palace,0:0 (0:0),1
44,FA Cup 1997/1998,24/02/1998,A,Crystal Palace,2:1 (2:1),3
45,FA Cup 1997/1998,07/03/1998,H,West Ham United,1:1 (1:1),1
46,FA Cup 1997/1998,16/03/1998,A,West Ham United,"4:3 (1:0, 1:1, 1:1) pso",3
47,FA Cup 1997/1998,04/04/1998,N,Wolverhampton Wanderers,1:0 (1:0),3
48,FA Cup 1997/1998,16/05/1998,N,Newcastle United,2:0 (1:0),3
49,League Cup 1997/1998,13/10/1997,H,Birmingham City,"4:1 (0:1, 1:1) aet",3
50,League Cup 1997/1998,17/11/1997,H,Coventry City,"1:0 (0:0, 0:0) aet",3
51,League Cup 1997/1998,05/01/1998,A,West Ham United,2:1 (1:0),3
52,League Cup 1997/1998,27/01/1998,H,Chelsea FC,2:1 (1:0),3
53,League Cup 1997/1998,17/02/1998,A,Chelsea FC,1:3 (0:1),0
