,match_type,date,home,away,score,points
0,Champions League 2012/2013,18/09/2012,A,Montpellier HSC,2:1 (2:1),3
1,Champions League 2012/2013,03/10/2012,H,Olympiakos Piräus,3:1 (1:1),3
2,Champions League 2012/2013,24/10/2012,H,FC Schalke 04,0:2 (0:0),0
3,Champions League 2012/2013,06/11/2012,A,FC Schalke 04,2:2 (2:1),1
4,Champions League 2012/2013,21/11/2012,H,Montpellier HSC,2:0 (0:0),3
5,Champions League 2012/2013,04/12/2012,A,Olympiakos Piräus,1:2 (1:0),0
6,Champions League 2012/2013,19/02/2013,H,Bayern München,1:3 (0:2),0
7,Champions League 2012/2013,13/03/2013,A,Bayern München,2:0 (1:0),3
8,Premier League 2012/2013,18/08/2012,H,Sunderland AFC,0:0 (0:0),1
9,Premier League 2012/2013,26/08/2012,A,Stoke City,0:0 (0:0),1
10,Premier League 2012/2013,02/09/2012,A,Liverpool FC,2:0 (1:0),3
11,Premier League 2012/2013,15/09/2012,H,Southampton FC,6:1 (4:1),3
12,Premier League 2012/2013,23/09/2012,A,Manchester City,1:1 (0:1),1
13,Premier League 2012/2013,29/09/2012,H,Chelsea FC,1:2 (1:1),0
14,Premier League 2012/2013,06/10/2012,A,West Ham United,3:1 (1:1),3
15,Premier League 2012/2013,20/10/2012,A,Norwich City,0:1 (0:1),0
16,Premier League 2012/2013,27/10/2012,H,Queens Park Rangers,1:0 (0:0),3
17,Premier League 2012/2013,03/11/2012,A,Manchester United,1:2 (0:1),0
18,Premier League 2012/2013,10/11/2012,H,Fulham FC,3:3 (2:2),1
19,Premier League 2012/2013,17/11/2012,H,Tottenham Hotspur,5:2 (3:1),3
20,Premier League 2012/2013,24/11/2012,A,Aston Villa,0:0 (0:0),1
21,Premier League 2012/2013,28/11/2012,A,Everton FC,1:1 (1:1),1
22,Premier League 2012/2013,01/12/2012,H,Swansea City,0:2 (0:0),0
23,Premier League 2012/2013,08/12/2012,H,West Bromwich Albion,2:0 (1:0),3
24,Premier League 2012/2013,17/12/2012,A,Reading FC,5:2 (3:0),3
25,Premier League 2012/2013,22/12/2012,A,Wigan Athletic,1:0 (0:0),3
26,Premier League 2012/2013,29/12/2012,H,Newcastle United,7:3 (1:1),3
27,Premier League 2012/2013,01/01/2013,A,Southampton FC,1:1 (1:1),1
28,Premier League 2012/2013,13/01/2013,H,Manchester City,0:2 (0:2),0
29,Premier League 2012/2013,20/01/2013,A,Chelsea FC,1:2 (0:2),0
30,Premier League 2012/2013,23/01/2013,H,West Ham United,5:1 (1:1),3
31,Premier League 2012/2013,30/01/2013,H,Liverpool FC,2:2 (0:1),1
32,Premier League 2012/2013,02/02/2013,H,Stoke City,1:0 (0:0),3
33,Premier League 2012/2013,09/02/2013,A,Sunderland AFC,1:0 (1:0),3
34,Premier League 2012/2013,23/02/2013,H,Aston Villa,2:1 (1:0),3
35,Premier League 2012/2013,03/03/2013,A,Tottenham Hotspur,1:2 (0:2),0
36,Premier League 2012/2013,16/03/2013,A,Swansea City,2:0 (0:0),3
37,Premier League 2012/2013,30/03/2013,H,Reading FC,4:1 (1:0),3
38,Premier League 2012/2013,06/04/2013,A,West Bromwich Albion,2:1 (1:0),3
39,Premier League 2012/2013,13/04/2013,H,Norwich City,3:1 (0:0),3
40,Premier League 2012/2013,16/04/2013,H,Everton FC,0:0 (0:0),1
41,Premier League 2012/2013,20/04/2013,A,Fulham FC,1:0 (1:0),3
42,Premier League 2012/2013,28/04/2013,H,Manchester United,1:1 (1:1),1
43,Premier League 2012/2013,04/05/2013,A,Queens Park Rangers,1:0 (1:0),3
44,Premier League 2012/2013,14/05/2013,H,Wigan Athletic,4:1 (1:1),3
45,Premier League 2012/2013,19/05/2013,A,Newcastle United,1:0 (0:0),3
46,FA Cup 2012/2013,06/01/2013,A,Swansea City,2:2 (0:0),1
47,FA Cup 2012/2013,16/01/2013,H,Swansea City,1:0 (0:0),3
48,FA Cup 2012/2013,26/01/2013,A,Brighton & Hove Albion,3:2 (1:1),3
49,FA Cup 2012/2013,16/02/2013,H,Blackburn Rovers,0:1 (0:0),0
50,League Cup 2012/2013,26/09/2012,H,Coventry City,6:1 (1:0),3
51,League Cup 2012/2013,30/10/2012,A,Reading FC,"7:5 (1:4, 4:4) aet",3
52,League Cup 2012/2013,11/12/2012,A,Bradford City,"2:3 (0:1, 1:1, 1:1) pso",0
