,match_type,date,home,away,score,points
0,Champions League 2001/2002,18/09/2001,H,Lille OSC,1:0 (0:0),3
1,Champions League 2001/2002,25/09/2001,A,Deportivo La Coruña,1:2 (1:0),0
2,Champions League 2001/2002,10/10/2001,A,Olympiakos Piräus,2:0 (0:0),3
3,Champions League 2001/2002,17/10/2001,H,Deportivo La Coruña,2:3 (2:2),0
4,Champions League 2001/2002,23/10/2001,H,Olympiakos Piräus,3:0 (0:0),3
5,Champions League 2001/2002,31/10/2001,A,Lille OSC,1:1 (1:0),1
6,Champions League 2001/2002,20/11/2001,A,Bayern München,1:1 (0:0),1
7,Champions League 2001/2002,05/12/2001,H,Boavista,3:0 (1:0),3
8,Champions League 2001/2002,20/02/2002,A,FC Nantes,1:1 (0:1),1
9,Champions League 2001/2002,26/02/2002,H,FC Nantes,5:1 (3:1),3
10,Champions League 2001/2002,13/03/2002,H,Bayern München,0:0 (0:0),1
11,Champions League 2001/2002,19/03/2002,A,Boavista,3:0 (2:0),3
12,Champions League 2001/2002,02/04/2002,A,Deportivo La Coruña,2:0 (2:0),3
13,Champions League 2001/2002,10/04/2002,H,Deportivo La Coruña,3:2 (1:1),3
14,Champions League 2001/2002,24/04/2002,H,Bayer Leverkusen,2:2 (1:0),1
15,Champions League 2001/2002,30/04/2002,A,Bayer Leverkusen,1:1 (1:1),1
16,Premier League 2001/2002,19/08/2001,H,Fulham FC,3:2 (1:1),3
17,Premier League 2001/2002,22/08/2001,A,Blackburn Rovers,2:2 (1:0),1
18,Premier League 2001/2002,26/08/2001,A,Aston Villa,1:1 (0:1),1
19,Premier League 2001/2002,08/09/2001,H,Everton FC,4:1 (2:0),3
20,Premier League 2001/2002,15/09/2001,A,Newcastle United,3:4 (1:2),0
21,Premier League 2001/2002,22/09/2001,H,Ipswich Town,4:0 (2:0),3
22,Premier League 2001/2002,29/09/2001,A,Tottenham Hotspur,5:3 (0:3),3
23,Premier League 2001/2002,13/10/2001,A,Sunderland AFC,3:1 (1:0),3
24,Premier League 2001/2002,20/10/2001,H,Bolton Wanderers,1:2 (1:1),0
25,Premier League 2001/2002,27/10/2001,H,Leeds United,1:1 (0:0),1
26,Premier League 2001/2002,04/11/2001,A,Liverpool FC,1:3 (0:2),0
27,Premier League 2001/2002,17/11/2001,H,Leicester City,2:0 (1:0),3
28,Premier League 2001/2002,25/11/2001,A,Arsenal FC,1:3 (1:0),0
29,Premier League 2001/2002,01/12/2001,H,Chelsea FC,0:3 (0:1),0
30,Premier League 2001/2002,08/12/2001,H,West Ham United,0:1 (0:0),0
31,Premier League 2001/2002,12/12/2001,H,Derby County,5:0 (2:0),3
32,Premier League 2001/2002,15/12/2001,A,Middlesbrough FC,1:0 (0:0),3
33,Premier League 2001/2002,22/12/2001,H,Southampton FC,6:1 (3:0),3
34,Premier League 2001/2002,26/12/2001,A,Everton FC,2:0 (0:0),3
35,Premier League 2001/2002,30/12/2001,A,Fulham FC,3:2 (2:1),3
36,Premier League 2001/2002,02/01/2002,H,Newcastle United,3:1 (1:0),3
37,Premier League 2001/2002,13/01/2002,A,Southampton FC,3:1 (2:1),3
38,Premier League 2001/2002,19/01/2002,H,Blackburn Rovers,2:1 (1:0),3
39,Premier League 2001/2002,22/01/2002,H,Liverpool FC,0:1 (0:0),0
40,Premier League 2001/2002,29/01/2002,A,Bolton Wanderers,4:0 (2:0),3
41,Premier League 2001/2002,02/02/2002,H,Sunderland AFC,4:1 (4:1),3
42,Premier League 2001/2002,10/02/2002,A,Charlton Athletic,2:0 (1:0),3
43,Premier League 2001/2002,23/02/2002,H,Aston Villa,1:0 (0:0),3
44,Premier League 2001/2002,03/03/2002,A,Derby County,2:2 (1:1),1
45,Premier League 2001/2002,06/03/2002,H,Tottenham Hotspur,4:0 (2:0),3
46,Premier League 2001/2002,16/03/2002,A,West Ham United,5:3 (2:2),3
47,Premier League 2001/2002,23/03/2002,H,Middlesbrough FC,0:1 (0:1),0
48,Premier League 2001/2002,30/03/2002,A,Leeds United,4:3 (3:1),3
49,Premier League 2001/2002,06/04/2002,A,Leicester City,1:0 (0:0),3
50,Premier League 2001/2002,20/04/2002,A,Chelsea FC,3:0 (2:0),3
51,Premier League 2001/2002,27/04/2002,A,Ipswich Town,1:0 (1:0),3
52,Premier League 2001/2002,08/05/2002,H,Arsenal FC,0:1 (0:0),0
53,Premier League 2001/2002,11/05/2002,H,Charlton Athletic,0:0 (0:0),1
54,FA Cup 2001/2002,05/01/2002,A,Aston Villa,3:2 (0:0),3
55,FA Cup 2001/2002,25/01/2002,A,Middlesbrough FC,0:2 (0:0),0
56,League Cup 2001/2002,04/11/2001,A,Arsenal FC,0:4 (0:3),0
57,FA Community Shield 2001,12/08/2001,N,Liverpool FC,1:2 (0:2),0
