,match_type,date,home,away,score,points
0,Champions League 1997/1998,16/09/1997,A,1. FC Košice,3:0 (1:0),3
1,Champions League 1997/1998,30/09/1997,H,Juventus,3:2 (1:1),3
2,Champions League 1997/1998,21/10/1997,H,Feyenoord,2:1 (1:0),3
3,Champions League 1997/1998,04/11/1997,A,Feyenoord,3:1 (2:0),3
4,Champions League 1997/1998,26/11/1997,H,1. FC Košice,3:0 (1:0),3
5,Champions League 1997/1998,09/12/1997,A,Juventus,0:1 (0:0),0
6,Champions League 1997/1998,03/03/1998,A,AS Monaco,0:0 (0:0),1
7,Champions League 1997/1998,17/03/1998,H,AS Monaco,1:1 (0:1),1
8,Premier League 1997/1998,09/08/1997,A,Tottenham Hotspur,2:0 (0:0),3
9,Premier League 1997/1998,12/08/1997,H,Southampton FC,1:0 (0:0),3
10,Premier League 1997/1998,22/08/1997,A,Leicester City,0:0 (0:0),1
11,Premier League 1997/1998,26/08/1997,A,Everton FC,2:0 (1:0),3
12,Premier League 1997/1998,29/08/1997,H,Coventry City,3:0 (1:0),3
13,Premier League 1997/1998,12/09/1997,H,West Ham United,2:1 (1:1),3
14,Premier League 1997/1998,19/09/1997,A,Bolton Wanderers,0:0 (0:0),1
15,Premier League 1997/1998,23/09/1997,H,Chelsea FC,2:2 (1:1),1
16,Premier League 1997/1998,26/09/1997,A,Leeds United,0:1 (0:1),0
17,Premier League 1997/1998,03/10/1997,H,Crystal Palace,2:0 (2:0),3
18,Premier League 1997/1998,17/10/1997,A,Derby County,2:2 (0:2),1
19,Premier League 1997/1998,24/10/1997,H,Barnsley FC,7:0 (4:0),3
20,Premier League 1997/1998,31/10/1997,H,Sheffield Wednesday,6:1 (4:0),3
21,Premier League 1997/1998,08/11/1997,A,Arsenal FC,2:3 (2:2),0
22,Premier League 1997/1998,21/11/1997,A,Wimbledon FC,5:2 (0:0),3
23,Premier League 1997/1998,29/11/1997,H,Blackburn Rovers,4:0 (1:0),3
24,Premier League 1997/1998,05/12/1997,A,Liverpool FC,3:1 (0:0),3
25,Premier League 1997/1998,14/12/1997,H,Aston Villa,1:0 (0:0),3
26,Premier League 1997/1998,20/12/1997,A,Newcastle United,1:0 (0:0),3
27,Premier League 1997/1998,25/12/1997,H,Everton FC,2:0 (2:0),3
28,Premier League 1997/1998,27/12/1997,A,Coventry City,2:3 (1:1),0
29,Premier League 1997/1998,09/01/1998,H,Tottenham Hotspur,2:0 (1:0),3
30,Premier League 1997/1998,18/01/1998,A,Southampton FC,0:1 (0:1),0
31,Premier League 1997/1998,30/01/1998,H,Leicester City,0:1 (0:1),0
32,Premier League 1997/1998,06/02/1998,H,Bolton Wanderers,1:1 (0:0),1
33,Premier League 1997/1998,17/02/1998,A,Aston Villa,2:0 (0:0),3
34,Premier League 1997/1998,20/02/1998,H,Derby County,2:0 (1:0),3
35,Premier League 1997/1998,27/02/1998,A,Chelsea FC,1:0 (1:0),3
36,Premier League 1997/1998,06/03/1998,A,Sheffield Wednesday,0:2 (0:1),0
37,Premier League 1997/1998,10/03/1998,A,West Ham United,1:1 (0:1),1
38,Premier League 1997/1998,13/03/1998,H,Arsenal FC,0:1 (0:0),0
39,Premier League 1997/1998,27/03/1998,H,Wimbledon FC,2:0 (0:0),3
40,Premier League 1997/1998,05/04/1998,A,Blackburn Rovers,3:1 (0:1),3
41,Premier League 1997/1998,09/04/1998,H,Liverpool FC,1:1 (1:1),1
42,Premier League 1997/1998,17/04/1998,H,Newcastle United,1:1 (1:1),1
43,Premier League 1997/1998,26/04/1998,A,Crystal Palace,3:0 (2:0),3
44,Premier League 1997/1998,03/05/1998,H,Leeds United,3:0 (2:0),3
45,Premier League 1997/1998,09/05/1998,A,Barnsley FC,2:0 (1:0),3
46,FA Cup 1997/1998,03/01/1998,A,Chelsea FC,5:3 (3:0),3
47,FA Cup 1997/1998,23/01/1998,H,Walsall FC,5:1 (2:0),3
48,FA Cup 1997/1998,14/02/1998,H,Barnsley FC,1:1 (1:1),1
49,FA Cup 1997/1998,24/02/1998,A,Barnsley FC,2:3 (0:2),0
50,League Cup 1997/1998,13/10/1997,A,Ipswich Town,0:2 (0:2),0
51,FA Community Shield 1997,02/08/1997,N,Chelsea FC,"4:2 (0:0, 1:1, 1:1) pso",3
